x;y;z;
 0.469;-0.592;-0.414;
 0.469;-0.592;-0.414;
 0.641;-0.519;-0.585;
 0.898;-0.313;-0.107;
 0.898;-0.313;-0.107;
 0.140;-0.224;-0.212;
 0.168;-0.324;-0.889;
 0.168;-0.324;-0.889;
 0.246;-0.322;-0.837;
 0.246;-0.322;-0.837;
 0.942;-0.375;-0.885;
 0.746;-0.400;-0.928;
 0.746;-0.400;-0.928;
 0.645;-0.417;-0.934;
 0.281;-0.368;-0.254;
 0.281;-0.368;-0.254;
 0.879;-0.474;-0.074;
 0.574;-0.443;-0.238;
 0.574;-0.443;-0.238;
 0.200;-0.520;-0.053;
-0.065;-0.557;-0.941;
-0.065;-0.557;-0.941;
-0.733;-0.590;-0.735;
-0.118;-0.618;-0.497;
-0.118;-0.618;-0.497;
-0.646;-0.640;-0.083;
-0.821;-0.693;-0.649;
-0.101;-0.680;-0.367;
-0.101;-0.680;-0.367;
-0.525;-0.588;-0.300;
-0.525;-0.588;-0.300;
-0.578;-0.639;-0.658;
-0.555;-0.665;-0.212;
-0.555;-0.665;-0.212;
-0.782;-0.605; 0.029;
-0.514;-0.654; 0.676;
-0.514;-0.654; 0.676;
-0.534;-0.611; 0.091;
-0.952;-0.721; 0.292;
-0.761;-0.720; 0.550;
-0.912;-0.649; 0.797;
-0.912;-0.649; 0.797;
-0.836;-0.606; 0.082;
-0.836;-0.606; 0.082;
-0.110;-0.594; 0.869;
-0.036;-0.609; 0.875;
-0.036;-0.609; 0.875;
-0.270;-0.585; 0.718;
-0.433;-0.561; 0.631;
-0.433;-0.561; 0.631;
